,name,level,record_longest_win_streak,losses,total_games_played,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak
211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,g_dvbbz20,267.0,57.0,831.0,5672.0,0.6209385991096497,5672.0,21646.0,516.0,1.2723828554153442,7282.0,27542.0,8374.0,13.0
213,Vluggerobin,393.0,48.0,522.0,6185.0,0.7318007946014404,6185.0,22025.0,382.0,1.6947559118270874,5630.0,37327.0,7616.0,18.0
214,glubberer0205,482.0,41.0,542.0,10698.0,0.6900368928909302,10698.0,27790.0,374.0,2.1267001628875732,13487.0,59101.0,9951.0,17.0
215,emirtzoff,684.0,27.0,746.0,10612.0,0.22386059165000916,10612.0,26313.0,167.0,1.69988214969635,7247.0,44729.0,10373.0,17.0
216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
217,PutiinYou2Sleep,31.0,19.0,1149.0,8714.0,0.4403829276561737,8714.0,37535.0,506.0,1.4938057661056519,1020.0,56070.0,11323.0,19.0
218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,Maycon_RS,904.0,57.0,2382.0,17310.0,0.38790932297706604,17310.0,78804.0,924.0,1.4115272760391235,13274.0,111234.0,23020.0,23.0
221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
222,HAX_Moj0,290.0,47.0,9.0,3306.0,2.0,3306.0,7318.0,18.0,3.1138288974761963,141.0,22787.0,5206.0,11.0
223,reconventie,279.0,66.0,510.0,5222.0,0.05882352963089943,5222.0,11342.0,30.0,2.0808498859405518,245.0,23601.0,5994.0,11.0
224,Buff_J,757.0,41.0,856.0,12576.0,0.7464953064918518,12576.0,52343.0,639.0,1.0693120956420898,23937.0,55971.0,19394.0,35.0
225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
